Famille de substances,Groupe,Aliment,Type,Unité,Nom Substance,Substance,LB,UB,MB
Contaminants inorg et minéraux,Beurre,beurre,N,µg/g,Cobalt,Co,0.012475,0.012475,0.012475
Contaminants inorg et minéraux,Beurre,beurre,N,µg/g,Chromium,Cr,0.7595000000000001,0.7595000000000001,0.7595000000000001
Contaminants inorg et minéraux,Beurre,beurre,N,µg/g,Cuivre,Cu,0.25695,0.25695,0.25695
Contaminants inorg et minéraux,Beurre,beurre,N,µg/g,Fer,Fe,0.2635,0.2635,0.2635
Contaminants inorg et minéraux,Beurre,beurre,N,µg/g,Gallium,Ga,0.0,0.001,0.0005
Contaminants inorg et minéraux,Beurre,beurre,N,µg/g,Germanium,Ge,0.01965,0.0204,0.020025
Contaminants inorg et minéraux,Beurre,beurre,N,µg/g,Mercure,Hg,0.0,0.005,0.0025
Contaminants inorg et minéraux,Beurre,beurre,N,µg/g,Potassium,K,280.0,280.0,280.0
Contaminants inorg et minéraux,Beurre,beurre,N,µg/g,Lithium,Li,0.01777,0.01777,0.01777
Contaminants inorg et minéraux,Beurre,beurre,N,µg/g,Magnésium,Mg,20.45,20.45,20.45
Contaminants inorg et minéraux,Beurre,beurre,N,µg/g,Manganese,Mn,0.01845,0.01845,0.01845
Contaminants inorg et minéraux,Beurre,beurre,N,µg/g,Molybdène,Mo,0.04455,0.04455,0.04455
Contaminants inorg et minéraux,Beurre,beurre,N,µg/g,Sodium,Na,155.0,155.0,155.0
Contaminants inorg et minéraux,Beurre,beurre,N,µg/g,Nickel,Ni,0.0854,0.0854,0.0854
Contaminants inorg et minéraux,Beurre,beurre,N,µg/g,Plomb,Pb,0.007446619,0.007446619,0.006196619
Contaminants inorg et minéraux,Beurre,beurre,N,µg/g,Antimoine,Sb,0.001955,0.001955,0.001705
Contaminants inorg et minéraux,Beurre,beurre,N,µg/g,Selenium,Se,0.05,0.07500000000000001,0.037500000000000006
Contaminants inorg et minéraux,Beurre,beurre,N,µg/g,Etain,Sn,0.009025,0.009025,0.009025
Contaminants inorg et minéraux,Beurre,beurre,N,µg/g,Strontium,Sr,0.0673,0.0673,0.0673
Contaminants inorg et minéraux,Beurre,beurre,N,µg/g,Tellure,Te,0.0685,0.0685,0.068
Contaminants inorg et minéraux,Beurre,beurre,N,µg/g,Vanadium,V,0.02935,0.02935,0.02435
Contaminants inorg et minéraux,Beurre,beurre,N,µg/g,Zinc,Zn,0.8300000000000001,0.8300000000000001,0.8300000000000001
Contaminants inorg et minéraux,Beurre,beurre allégé à 60-62 % m.g.,N,µg/g,Argent,Ag,0.084,0.084,0.042
Contaminants inorg et minéraux,Beurre,beurre allégé à 60-62 % m.g.,N,µg/g,Aluminium,Al,0.329,0.447,0.388
Contaminants inorg et minéraux,Beurre,beurre allégé à 60-62 % m.g.,N,µg/g,Arsenic,As,0.01455,0.01705,0.0158
Contaminants inorg et minéraux,Beurre,beurre allégé à 60-62 % m.g.,N,µg/g,Baryum,Ba,0.273,0.273,0.273
Contaminants inorg et minéraux,Beurre,beurre allégé à 60-62 % m.g.,N,µg/g,Calcium,Ca,200.5,200.5,200.5
Contaminants inorg et minéraux,Beurre,beurre allégé à 60-62 % m.g.,N,µg/g,Cadmium,Cd,0.0011250000000000001,0.0011250000000000001,0.000875
Contaminants inorg et minéraux,Beurre,beurre allégé à 60-62 % m.g.,N,µg/g,Cobalt,Co,0.12160000000000001,0.12160000000000001,0.12160000000000001
Contaminants inorg et minéraux,Beurre,beurre allégé à 60-62 % m.g.,N,µg/g,Chromium,Cr,0.498,0.498,0.498
Contaminants inorg et minéraux,Beurre,beurre allégé à 60-62 % m.g.,N,µg/g,Cuivre,Cu,0.2275,0.2275,0.2275
Contaminants inorg et minéraux,Beurre,beurre allégé à 60-62 % m.g.,N,µg/g,Fer,Fe,0.9615,0.9615,0.9615
Contaminants inorg et minéraux,Beurre,beurre allégé à 60-62 % m.g.,N,µg/g,Gallium,Ga,0.0443,0.0448,0.04455
Contaminants inorg et minéraux,Beurre,beurre allégé à 60-62 % m.g.,N,µg/g,Germanium,Ge,0.003,0.003,0.0015
Contaminants inorg et minéraux,Beurre,beurre allégé à 60-62 % m.g.,N,µg/g,Mercure,Hg,0.005,0.0075,0.00375
Contaminants inorg et minéraux,Beurre,beurre allégé à 60-62 % m.g.,N,µg/g,Potassium,K,476.5,476.5,476.5
Contaminants inorg et minéraux,Beurre,beurre allégé à 60-62 % m.g.,N,µg/g,Lithium,Li,0.005155,0.005155,0.0049050000000000005
Contaminants inorg et minéraux,Beurre,beurre allégé à 60-62 % m.g.,N,µg/g,Magnésium,Mg,25.1,25.1,25.1
Contaminants inorg et minéraux,Beurre,beurre allégé à 60-62 % m.g.,N,µg/g,Manganese,Mn,0.048600000000000004,0.048600000000000004,0.048600000000000004
Contaminants inorg et minéraux,Beurre,beurre allégé à 60-62 % m.g.,N,µg/g,Molybdène,Mo,0.0308,0.0308,0.0308
Contaminants inorg et minéraux,Beurre,beurre allégé à 60-62 % m.g.,N,µg/g,Sodium,Na,2715.0,2715.0,2715.0
Contaminants inorg et minéraux,Beurre,beurre allégé à 60-62 % m.g.,N,µg/g,Nickel,Ni,0.053,0.053,0.0265
Contaminants inorg et minéraux,Beurre,beurre allégé à 60-62 % m.g.,N,µg/g,Plomb,Pb,0.0105,0.0105,0.00925
Contaminants inorg et minéraux,Beurre,beurre allégé à 60-62 % m.g.,N,µg/g,Antimoine,Sb,0.00109,0.00109,0.00084
Contaminants inorg et minéraux,Beurre,beurre allégé à 60-62 % m.g.,N,µg/g,Selenium,Se,0.05,0.07500000000000001,0.037500000000000006
Contaminants inorg et minéraux,Beurre,beurre allégé à 60-62 % m.g.,N,µg/g,Etain,Sn,0.025044999999999998,0.025044999999999998,0.025044999999999998
Contaminants inorg et minéraux,Beurre,beurre allégé à 60-62 % m.g.,N,µg/g,Strontium,Sr,0.3185,0.3185,0.3185
Contaminants inorg et minéraux,Beurre,beurre allégé à 60-62 % m.g.,N,µg/g,Tellure,Te,0.002,0.002,0.001
Contaminants inorg et minéraux,Beurre,beurre allégé à 60-62 % m.g.,N,µg/g,Vanadium,V,0.04285,0.04285,0.04285
Contaminants inorg et minéraux,Beurre,beurre allégé à 60-62 % m.g.,N,µg/g,Zinc,Zn,0.3915,0.3915,0.3915
Contaminants inorg et minéraux,Beurre,beurre salé,N,µg/g,Argent,Ag,0.0,0.042,0.021
Contaminants inorg et minéraux,Beurre,beurre salé,N,µg/g,Aluminium,Al,5.26,5.26,5.26
Contaminants inorg et minéraux,Beurre,beurre salé,N,µg/g,Arsenic,As,0.02925,0.03175,0.030500000000000003
Contaminants inorg et minéraux,Beurre,beurre salé,N,µg/g,Baryum,Ba,0.101,0.1235,0.11225
Contaminants inorg et minéraux,Beurre,beurre salé,N,µg/g,Calcium,Ca,178.0,178.0,178.0
Contaminants inorg et minéraux,Beurre,beurre salé,N,µg/g,Cadmium,Cd,0.000805,0.001055,0.00093
Contaminants inorg et minéraux,Beurre,beurre salé,N,µg/g,Cobalt,Co,0.002265,0.002765,0.002515
Contaminants inorg et minéraux,Beurre,beurre salé,N,µg/g,Chromium,Cr,0.65,0.65,0.65
Contaminants inorg et minéraux,Beurre,beurre salé,N,µg/g,Cuivre,Cu,0.09179999999999999,0.09179999999999999,0.09179999999999999
Contaminants inorg et minéraux,Beurre,beurre salé,N,µg/g,Fer,Fe,1.3054999999999999,1.3054999999999999,1.3054999999999999
Contaminants inorg et minéraux,Beurre,beurre salé,N,µg/g,Gallium,Ga,0.0,0.001,0.0005
Contaminants inorg et minéraux,Beurre,beurre salé,N,µg/g,Germanium,Ge,0.002435,0.0031850000000000003,0.00281
Contaminants inorg et minéraux,Beurre,beurre salé,N,µg/g,Mercure,Hg,0.0,0.005,0.0025
Contaminants inorg et minéraux,Beurre,beurre salé,N,µg/g,Potassium,K,389.5,389.5,389.5
Contaminants inorg et minéraux,Beurre,beurre salé,N,µg/g,Lithium,Li,0.003155,0.003405,0.00328
Contaminants inorg et minéraux,Beurre,beurre salé,N,µg/g,Magnésium,Mg,49.4,49.4,49.4
Contaminants inorg et minéraux,Beurre,beurre salé,N,µg/g,Manganese,Mn,0.04735,0.04735,0.04735
Contaminants inorg et minéraux,Beurre,beurre salé,N,µg/g,Molybdène,Mo,0.044,0.044,0.044
Contaminants inorg et minéraux,Beurre,beurre salé,N,µg/g,Sodium,Na,7615.0,7615.0,7615.0
Contaminants inorg et minéraux,Beurre,beurre salé,N,µg/g,Nickel,Ni,0.06275,0.06275,0.049499999999999995
Contaminants inorg et minéraux,Beurre,beurre salé,N,µg/g,Plomb,Pb,0.01165,0.01165,0.01165
Contaminants inorg et minéraux,Beurre,beurre salé,N,µg/g,Antimoine,Sb,0.0006,0.00085,0.000725
Contaminants inorg et minéraux,Beurre,beurre salé,N,µg/g,Selenium,Se,0.0,0.05,0.025
Contaminants inorg et minéraux,Beurre,beurre salé,N,µg/g,Etain,Sn,0.01685,0.01685,0.01685
Contaminants inorg et minéraux,Beurre,beurre salé,N,µg/g,Strontium,Sr,0.3295,0.3295,0.3295
Contaminants inorg et minéraux,Beurre,beurre salé,N,µg/g,Tellure,Te,0.001095,0.001595,0.001345
Contaminants inorg et minéraux,Beurre,beurre salé,N,µg/g,Vanadium,V,0.12855,0.12855,0.12855
Contaminants inorg et minéraux,Beurre,beurre salé,N,µg/g,Zinc,Zn,0.5165,0.5165,0.5165
Contaminants inorg et minéraux,Biscuits sucrés ou salés et barres,barquette à la pulpe de fruit,N,µg/g,Argent,Ag,0.084,0.084,0.042
Contaminants inorg et minéraux,Biscuits sucrés ou salés et barres,barquette à la pulpe de fruit,N,µg/g,Aluminium,Al,4.255,4.255,4.255
Contaminants inorg et minéraux,Biscuits sucrés ou salés et barres,barquette à la pulpe de fruit,N,µg/g,Arsenic,As,0.02075,0.02075,0.02075
Contaminants inorg et minéraux,Biscuits sucrés ou salés et barres,barquette à la pulpe de fruit,N,µg/g,Baryum,Ba,0.73,0.73,0.73
Contaminants inorg et minéraux,Biscuits sucrés ou salés et barres,barquette à la pulpe de fruit,N,µg/g,Calcium,Ca,513.0,513.0,513.0
Contaminants inorg et minéraux,Biscuits sucrés ou salés et barres,barquette à la pulpe de fruit,N,µg/g,Cadmium,Cd,0.020555,0.020555,0.020555
